ver_format,fmt_opt,app,ver_app,device_id,tick,date,time,device,s_0,s_1,s_2,s_3,s_d0,s_d1,s_d2,s_t0,s_h0,gps_lat,gps_lon,gps_fix,gps_num,gps_alt
3,1,AirBox,0.35.2,74DA38C7D57E,1513809746,2017-12-21,06:42:26,新竹市立內湖國中,2,100,1,0,14,15,10,21.75,49,24.742,120.911,1,9,2
3,1,AirBox,0.35.2,74DA38C7D57E,1513813827,2017-12-21,07:50:27,新竹市立內湖國中,1,100,1,0,18,20,13,18.62,53,24.742,120.911,1,9,2
3,1,AirBox,0.35.0,74DA3895C30C,1513791740,2017-12-21,01:42:20,Taichung10,470,100,1,0,12,13,9,20.25,66,24.162,120.723,1,9,2
3,1,AirBox,0.35.0,74DA3895C30C,1513792094,2017-12-21,01:48:14,Taichung10,471,100,1,0,12,12,9,20.25,66,24.162,120.723,1,9,2
3,1,AirBox,0.35.0,74DA3895C30C,1513792448,2017-12-21,01:54:08,Taichung10,472,100,1,0,11,13,8,20.37,65,24.162,120.723,1,9,2
3,1,AirBox,0.35.0,74DA3895C30C,1513792803,2017-12-21,02:00:03,Taichung10,473,100,1,0,11,12,9,20.37,65,24.162,120.723,1,9,2
3,1,AirBox,0.35.0,74DA3895C30C,1513805597,2017-12-21,05:33:17,Taichung10,487,100,1,0,10,12,8,20.5,63,24.162,120.723,1,9,2
3,1,AirBox,0.35.0,74DA3895C30C,1513807369,2017-12-21,06:02:49,Taichung10,492,100,1,0,11,13,7,20.5,63,24.162,120.723,1,9,2
3,1,AirBox,0.35.0,74DA3895C30C,1513808078,2017-12-21,06:14:38,Taichung10,494,100,1,0,9,10,6,20.37,64,24.162,120.723,1,9,2
3,1,AirBox,0.35.0,74DA3895C30C,1513810562,2017-12-21,06:56:02,Taichung10,501,100,1,0,10,11,7,20.12,63,24.162,120.723,1,9,2
3,1,AirBox,0.35.0,74DA3895C30C,1513811979,2017-12-21,07:19:39,Taichung10,505,100,1,0,9,10,7,20.25,64,24.162,120.723,1,9,2
3,1,AirBox,0.35.0,74DA388FF3BA,1513791257,2017-12-21,01:34:17,lungshanoffice,116,100,1,0,6,6,4,23,59,25.037,121.5,1,9,2
3,1,AirBox,0.35.0,74DA388FF3BA,1513802283,2017-12-21,04:38:03,lungshanoffice,125,100,1,0,4,5,3,22.75,59,25.037,121.5,1,9,2
3,1,AirBox,0.35.0,74DA388FF3BA,1513804767,2017-12-21,05:19:27,lungshanoffice,132,100,1,0,5,5,4,23,58,25.037,121.5,1,9,2
3,1,AirBox,0.35.0,74DA388FF3BA,1513808668,2017-12-21,06:24:28,lungshanoffice,143,100,1,0,7,8,5,23,58,25.037,121.5,1,9,2
3,1,AirBox,1.1.0,74DA38E2B9A0,1513792965,2017-12-21,02:02:45,Airbox.Setup.A0,416,100,1,0,4,7,5,23.13,46,25.062,121.582,1,9,2
3,1,AirBox,1.1.0,74DA38E2B9A0,1513802036,2017-12-21,04:33:56,Airbox.Setup.A0,442,100,1,0,5,8,6,22.87,45,25.062,121.582,1,9,2
3,1,AirBox,1.1.0,74DA38E2B9A0,1513804720,2017-12-21,05:18:40,Airbox.Setup.A0,450,100,1,0,5,8,6,22.87,45,25.062,121.582,1,9,2
3,1,AirBox,1.1.0,74DA38E2B9A0,1513805393,2017-12-21,05:29:53,Airbox.Setup.A0,452,100,1,0,5,9,6,22.86,45,25.062,121.582,1,9,2
3,1,AirBox,1.1.0,74DA38E2B9A0,1513808747,2017-12-21,06:25:47,Airbox.Setup.A0,462,100,1,0,5,9,7,22.77,45,25.062,121.582,1,9,2
3,1,AirBox,1.1.0,74DA38E2B9A0,1513810088,2017-12-21,06:48:08,Airbox.Setup.A0,466,100,1,0,6,9,7,22.8,45,25.062,121.582,1,9,2
3,1,AirBox,1.1.0,74DA38E2B9A0,1513810424,2017-12-21,06:53:44,Airbox.Setup.A0,467,100,1,0,6,10,7,22.84,45,25.062,121.582,1,9,2
3,1,AirBox,1.1.0,74DA38E2B9A0,1513812104,2017-12-21,07:21:44,Airbox.Setup.A0,472,100,1,0,6,9,7,22.83,45,25.062,121.582,1,9,2
3,1,AirBox,0.35.2,74DA38B05366,1513792691,2017-12-21,01:58:11,morris,166,100,1,0,8,9,7,23.37,69,23.994,120.564,1,9,2
3,1,AirBox,0.35.2,74DA38B05428,1513792355,2017-12-21,01:52:35,公誠國小pm2.5,7564,100,1,0,21,24,16,18.37,69,23.715,120.538,1,9,2
3,1,AirBox,0.35.2,74DA38B05428,1513793068,2017-12-21,02:04:28,公誠國小pm2.5,7566,100,1,0,24,29,20,18.37,69,23.715,120.538,1,9,2
